ANIO,ID_PERSONA,LLAVE_ENTIDAD,LLAVE_MUNICIPIO,CLAVE_MUNICIPIO_INEGI(CLAVE_DE_AGEM),LLAVE_LOCALIDAD,CLAVE_LOCALIDAD_INEGI,ID_VIVIENDA,ID_HOGAR,LLAVE_COBERTURA,LLAVE_CLASEVIVIENDA,LLAVE_SEXO,LLAVE_PARENTESCO,LLAVE_IDENTMADRE,LLAVE_IDENTPADRE,LLAVE_PAIS_NAC,LLAVE_ENTIDAD_NAC,LLAVE_NACIONALIDAD,LLAVE_SERSALUD,LLAVE_AFRODES,LLAVE_REGISNAC,LLAVE_RELIGION,LLAVE_HLENGUA,LLAVE_LENGUAMAT,LLAVE_HESPANOL,LLAVE_ELENGUA,LLAVE_PERTEINDIGENA,LLAVE_ASISESCOLAR,LLAVE_PAIS_ASISESCOLAR,LLAVE_ENTIDAD_ASISESCOLAR,LLAVE_MUNICIPIO_ASISESCOLAR,LLAVE_TIETRASLADO_ESCOLAR,LLAVE_MEDTRASLADO_ESCOLAR,LLAVE_NIVACAD,LLAVE_CARRERA,LLAVE_ALFABETISMO,LLAVE_PAIS_RES5A,LLAVE_ENTIDAD_RES5A,LLAVE_MUNICIPIO_RES5A,LLAVE_CAUSAMIGRACION,LLAVE_SITUACONYUGAL,LLAVE_IDENTPAREJA,LLAVE_ACTPRIMARIA,LLAVE_OCUPACION,LLAVE_SITTRA,LLAVE_ACTECONOMICA,ACTIVIDAD_ECONOMICA_INEGI,LLAVE_PAIS_TRABAJO,LLAVE_ENTIDAD_TRABAJO,LLAVE_MUNICIPIO_TRABAJO,LLAVE_TIETRASLADO_TRABAJO,LLAVE_MEDTRASLADO_TRABAJO,LLAVE_TAMLOC,ESTRATO,UPM,FACTOR_EXP,NUMPERSONA,EDAD,ESCOLARIDAD,ESCOLARIDAD_ACUMULADA,INGRESO,HORAS_TRABAJADAS,HIJOS_NACIDOS,HIJOS_VIVOS,HIJOS_FALLECIDOS,MERCADO_TRABAJO_LOCAL
2000,200000000000000005909,1,17,1,170001,1.0,2000000000092795,2000000000000643.0,0,0,1,101,0,0,235,1,0,9,0,0,1,2,0,0,0,3,2,601,0,0,0,0,3,0,1,235,1,17,0,8,0,1,71201,2,237,231.0,235,1,17,0,0,4,100101023,23,7,,24.0,1.0,7.0,2571.0,48.0,,,,1
2000,200000000000000005910,1,17,1,170001,1.0,2000000000092795,2000000000000643.0,0,0,2,201,0,0,235,1,0,9,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,8,0,6,0,0,999,,601,0,0,0,0,4,100101023,23,7,,21.0,5.0,5.0,0.0,,2.0,2.0,0.0,1
2000,200000000000000005918,1,17,1,170001,1.0,2000000000097677,2000000000010332.0,0,0,1,101,0,0,235,1,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,13,332,1,235,1,17,0,9,0,1,21305,1,541,540.0,235,1,21,0,0,4,100101023,23,7,,28.0,5.0,17.0,4200.0,40.0,,,,1
2000,200000000000000005922,1,17,1,170001,1.0,2000000000102559,2000000000000647.0,0,0,2,301,0,0,235,1,0,5,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,999,,601,0,0,0,0,4,100101023,23,7,,3.0,,,0.0,,,,,1
2000,200000000000000005930,1,17,1,170001,1.0,2000000000105000,2000000000000648.0,0,0,2,301,0,0,235,1,0,5,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,9,0,8,0,0,999,,601,0,0,0,0,4,100101023,23,7,,14.0,5.0,5.0,0.0,,,,,1
2000,200000000000000005942,1,17,1,170001,1.0,2000000000112323,2000000000000651.0,0,0,1,101,0,0,235,1,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,3,0,1,235,1,17,0,8,0,1,83402,1,485,484.0,235,1,17,0,0,4,100101023,23,7,,28.0,3.0,9.0,3643.0,40.0,,,,1
2000,200000000000000005952,1,17,1,170001,1.0,2000000000114764,2000000000000652.0,0,0,2,101,0,0,235,14,0,7,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,8,0,1,95103,5,466,465.0,235,1,17,0,0,4,100101023,23,7,,33.0,6.0,6.0,1071.0,24.0,3.0,3.0,0.0,1
2000,200000000000000005982,1,17,1,170001,1.0,2000000000122083,2000000000010680.0,0,0,1,101,0,0,235,32,0,9,0,0,1,2,0,0,0,3,2,601,0,0,0,0,18,0,1,235,1,17,0,8,0,1,81208,1,327,326.0,235,1,17,0,0,4,100101023,23,7,,54.0,0.0,0.0,643.0,40.0,,,,1
2000,200000000000000005986,1,17,1,170001,1.0,2000000000122083,2000000000010778.0,0,0,2,301,0,0,235,1,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,9,0,1,96207,1,814,816.0,235,1,17,0,0,4,100101023,23,7,,15.0,1.0,1.0,943.0,54.0,,,,1
2000,200000000000000005992,1,17,1,170001,1.0,2000000000124522,2000000000000656.0,0,0,1,101,0,0,235,14,0,1,0,0,1,2,0,0,0,3,2,601,0,0,0,0,2,0,1,235,1,17,0,8,0,1,81613,1,311,310.0,235,1,27,0,0,4,100101023,23,7,,70.0,5.0,5.0,1714.0,42.0,,,,1
